关键词,帖子内容,帖子链接,帖子点赞数,帖子转发数,帖子评论数,图片视频链接,发布时间,发布者的id,发布者的姓名,发布人的账号类型,发布人的粉丝数,发布者的关注数,作者简介,ip归属地,性别,全部微博数量,微博标签,图片视频类型,博主分类,公司,大学,加入微博时间,信用,爬取时间,发布终端
干旱,【未解之谜】骷髅海岸是世界上最干旱的沙漠之一，这片海岸在古老的纳米比亚沙漠和大西洋的冷水域之间有500公里的长度。骷髅海岸因水流、8级大风、恐怖的雾和深海相映而形成的礁石。小船经常遭遇事故。 ,https://weibo.com/6031921719/JBYnlF9cx,0,0,0,None[],2021-01-06 22:48:04,6031921719,吃饭不用嚼lappa,无认证,11,772,　　　　 　你好好过 我慢慢走,,女,183,None,图片,None,None,university,2016-09-26 15:00:49,信用一般,2024-05-22-13-54-03,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/4MyCQK"" rel=""nofollow"">OPPO Ace2 5G超级玩家</a>"
干旱,没有情绪的干旱 //@大毛怪monsters :Cinderella！！！或者最新Jazz版修炼爱情和伟大的渺小想看魅惑爵士小林[抱一抱][抱一抱][抱一抱]#林俊杰咖啡调调#,https://weibo.com/7411219801/JBYmfdBLx,0,0,0,None[],2021-01-06 22:45:19,7411219801,毛小怪孤单听雨的猫,无认证,1201,179,,,女,31024,None,图片,None,None,北京联合大学北苑校区,2020-03-12 03:46:00,信用较好,2024-05-22-13-54-04,微博轻享版
干旱,没有情绪的干旱 //@阳光如期1307:搬好小板凳等你呀[羞嗒嗒][打call]//@林俊杰:2021年，要初次與你們見面啦！1月23日，第二屆TMEA#腾讯音乐娱乐盛典#，Music to live因樂而生[心],https://weibo.com/7314102144/JBYd89j2f,0,0,0,None[],2021-01-06 22:22:53,7314102144,薯童谣1307,无认证,1187,193,阳光如期db号💜谢谢你让我的青春重来😘,,女,102588,None,图片,None,JFJ,福建医科大学,2019-10-03 23:27:08,信用较好,2024-05-22-13-54-05,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/56fvsR"" rel=""nofollow"">OPPO Reno</a>"
干旱,没有情绪的干旱 //@把脉小王子 :#林俊杰咖啡调调# 只是简简单单的爱过 我还是我[心]#简简单单-林俊杰[音乐]#能拥有姓名吗[打call] #JJsBloomnTunes#,https://weibo.com/6833091881/JBYcQtLT4,0,0,0,None[],2021-01-06 22:22:11,6833091881,我不跑路了1307,无认证,1240,326, ,IP属地：广东,男,44861,None,图片,None,None,上海国家会计学院,2018-11-09 21:58:27,信用较好,2024-05-22-13-54-06,微博轻享版
干旱,"#北京天气##气象专家辟谣所谓60年来最冷##明星名人八字命理# 
极冷的庚子年，是有原因的！
我用自己的易经知识解释一下：庚子年的子藏干有癸水，癸水就是极其寒冻的水，也代表极其寒冻。癸水和鬼等同，现在新冠病毒感染了8000多万，“四”了不知多少百万人，再加上今年有其它意外出事的又不在少数，因而就会有很多的“四”人，鬼多自然癸水就多，庚子年大的系统是我们地球这个大的自然空间，大的空间就会传递及影响小的空间，另外子水有庚金来生，自然癸的力量很强大，因而会是极其寒冻的一年。一个稳定的永恒的空间，必定阴阳平衡。就好比发动机，激烈燃烧运动这刚烈的，火属性的东西，必定有软化油及水这柔性的东西辅助，一旦阴阳平衡了，发动机就能永远没有损耗，理想的状态是可以制造出万年的发动机。

逆而推之 
极其寒冷就会有极其热的事物产生，这便是病毒等。运动的激烈的就是属于火性的东西，极其寒冷，则对应的病毒火性越强，会更难控制。今年战火，干旱，火烧山这火性的东西就会应运而生。
冬天专家不在家，我就出来郑重说一下[偷乐]#明星名人八字命理#",https://weibo.com/5866438533/JBYcsbDDi,8,4,20,None['https://wx1.sinaimg.cn/orj960/006p0YElgy1gmec1xn5u4j30u07xk7wj'],2021-01-06 22:21:12,5866438533,易学造命Macx,无认证,37274,938,事业，感情婚姻，改名 取名，学业 ，zao贵子，家居公司设计等等,IP属地：广西,男,4857,"情感生活领域 阅读数飙升,昨日发博10，阅读数10万+，互动数144,视频累计播放量29.1万,",图片,None,加威 yiyishenghui431,university,2016-02-24 20:59:51,信用较好,2024-05-22-13-54-07,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/1zm0J5"" rel=""nofollow"">荣耀30 5G</a>"
干旱,【期货报告】路孚特研报：预计巴西玉米产量稳定，近期降雨或将弥补干旱造成的产量损失http://t.cn/A6qBrVLz (来自：金十期货APP http://t.cn/A6yCv6OY) ,https://weibo.com/7370228767/JBYadiLdJ,0,0,0,None['https://wx1.sinaimg.cn/orj960/0082MJbxgy1gmec2rcj9oj30b607m3yv'],2021-01-06 22:15:42,7370228767,金十期货APP,无认证,5941,192,认认真真做期货，市场行情看点帮你mark好了。官方网站：https://qihuo.jin10.com/app/index.html,IP属地：中国香港,男,9799,"视频累计播放量31.1万,",图片,金十期货APP官方微博,None,university,2020-01-10 16:45:47,信用较好,2024-05-22-13-54-08,金十期货APP
干旱,【未解之谜】骷髅海岸是世界上最干旱的沙漠之一，这片海岸在古老的纳米比亚沙漠和大西洋的冷水域之间有500公里的长度。骷髅海岸因水流、8级大风、恐怖的雾和深海相映而形成的礁石。小船经常遭遇事故。 ,https://weibo.com/6031921719/JBYnlF9cx,0,0,0,None[],2021-01-06 22:48:04,6031921719,吃饭不用嚼lappa,无认证,11,772,　　　　 　你好好过 我慢慢走,,女,183,None,图片,None,None,university,2016-09-26 15:00:49,信用一般,2024-05-22-13-54-10,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/4MyCQK"" rel=""nofollow"">OPPO Ace2 5G超级玩家</a>"
干旱,没有情绪的干旱 //@大毛怪monsters :Cinderella！！！或者最新Jazz版修炼爱情和伟大的渺小想看魅惑爵士小林[抱一抱][抱一抱][抱一抱]#林俊杰咖啡调调#,https://weibo.com/7411219801/JBYmfdBLx,0,0,0,None[],2021-01-06 22:45:19,7411219801,毛小怪孤单听雨的猫,无认证,1201,179,,,女,31024,None,图片,None,None,北京联合大学北苑校区,2020-03-12 03:46:00,信用较好,2024-05-22-13-54-11,微博轻享版
干旱,没有情绪的干旱 //@阳光如期1307:搬好小板凳等你呀[羞嗒嗒][打call]//@林俊杰:2021年，要初次與你們見面啦！1月23日，第二屆TMEA#腾讯音乐娱乐盛典#，Music to live因樂而生[心],https://weibo.com/7314102144/JBYd89j2f,0,0,0,None[],2021-01-06 22:22:53,7314102144,薯童谣1307,无认证,1187,193,阳光如期db号💜谢谢你让我的青春重来😘,,女,102588,None,图片,None,JFJ,福建医科大学,2019-10-03 23:27:08,信用较好,2024-05-22-13-54-12,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/56fvsR"" rel=""nofollow"">OPPO Reno</a>"
干旱,没有情绪的干旱 //@把脉小王子 :#林俊杰咖啡调调# 只是简简单单的爱过 我还是我[心]#简简单单-林俊杰[音乐]#能拥有姓名吗[打call] #JJsBloomnTunes#,https://weibo.com/6833091881/JBYcQtLT4,0,0,0,None[],2021-01-06 22:22:11,6833091881,我不跑路了1307,无认证,1240,326, ,IP属地：广东,男,44861,None,图片,None,None,上海国家会计学院,2018-11-09 21:58:27,信用较好,2024-05-22-13-54-13,微博轻享版
